Specimen_ID,Lmin,L05,Lmean,L95,Lmax,Wmin,W05,Wmean,W95,Wmax,Qmin,Q05,Qmean,Q95,Qmax,Cystidia_count
1,ARAN_3033195,42.96,47.019,52.4254166666667,59.401,64.06,3.29,3.405,4.39125,5.3375,5.65,8.99,9.6965,12.125,14.811,15.33,24
2,ARAN_4160,52.25,53.087,59.9673684210526,70.39,71.29,2.36,2.486,3.18052631578947,3.97,4.15,14.32,14.374,19.2484210526316,23.382,26.37,19
3,Buyck_001899,35.18,41.8965,49.235,55.407,57.44,3.38,3.38,4.117,5.1215,5.15,8.59,9.3975,12.174,15.448,16.36,20
4,CWU_6737,63.05,66.318,77.536,92.0395,96.97,3.47,3.7835,4.7075,5.578,6.11,12.81,13.3515,16.847,23.563,24,20
5,Hjm_16340,36.19,40.689,50.9916666666667,62.7835,64.34,3.09,3.112,4.0475,5.0095,5.29,7.57,8.208,12.9675,16.433,17.61,12
6,Hjm_16465,39.68,43.23,54.7027272727273,64.4,65.88,2.08,2.09,2.6,3.03,3.05,14.07,15.1,21.4854545454545,27.41,28.05,11
7,KAS_GEL_3388,47.41,49.618,60.1184615384615,67.942,70.18,2.27,2.366,2.72538461538462,3.054,3.15,20.06,20.132,22.1469230769231,26.666,28.76,13
8,KAS_GEL_3392,41.15,42.9455,51.212,61.7455,62.11,2.48,2.5115,2.743,3,3,15.05,15.743,18.705,21.9865,23.26,10
9,KAS_GEL_3550,40.61,42.198,55.0322222222222,63.954,65.19,3.49,3.506,4.26666666666667,4.842,4.91,8.27,9.078,13.1522222222222,16.934,17.69,9
10,KAS_GEL_3681,43.2,47.152,56.8276470588235,67.038,68.87,1.64,1.872,2.48352941176471,3.006,3.03,17.14,17.204,23.4029411764706,31.916,34.5,17
11,KAS_GEL_4815,39.31,42.1915,53.3266666666667,63.6335,68.98,2.24,2.3165,2.68722222222222,3.166,3.2,15.42,15.42,20.0622222222222,27.213,29.61,18
12,KAS_GEL_5217a,37.01,39.662,48.9516666666667,61.435,64.24,1.58,1.699,2.34888888888889,2.9055,3.05,13.39,14.8775,21.4222222222222,28.2,29.39,18
13,KAS_L_0103,44.07,45.9455,55.2063157894737,66.225,67.12,2.26,2.2685,2.80552631578947,3.524,3.94,13.73,14.341,20.0413157894737,24.703,29.57,38
14,KAS_L_1726b,46.89,47.023,53.8486666666667,64.458,77.31,2.2,2.27,2.68133333333333,3.061,3.11,17.25,17.705,20.1406666666667,23.72,27.22,15
15,KHL_10517,71.38,72.794,80.7766666666667,90.367,90.5,2.63,2.924,3.546,4.045,4.22,19.42,19.637,23.1346666666667,30.14,34.41,15
16,KHL_10671,45.78,48.61,55.082380952381,63.52,64.26,2.53,2.65,3.12571428571429,3.53,3.92,13.32,14.87,17.7757142857143,21.54,21.68,21
17,KHL_11200,52.71,57.564,71.4753846153846,84.594,86.07,2.88,2.898,3.54615384615385,4.188,4.41,15.78,16.224,20.3261538461538,23.758,24.94,13
18,KHL_14229,50.28,53.543,65.0795833333333,84.632,86.88,3.61,3.6445,4.55041666666667,5.4045,5.54,9.71,10.6055,14.4533333333333,17.963,18.77,24
19,KHL_14305,37.03,40.865,52.5455555555556,65.531,67.49,2.23,2.447,3.13666666666667,3.733,4.02,11.52,12.905,16.9022222222222,20.496,22.57,27
20,KHL_14355,51.55,53.946,68.4088888888889,78.648,79.34,3.48,3.7,5.52888888888889,6.922,6.95,7.98,9.02,12.9811111111111,18.314,20.31,9
21,KHL_16062,41.01,42.3395,52.6091666666667,63.849,72.42,2.6,2.852,3.44458333333333,4.2385,4.49,12.01,12.109,15.3795833333333,18.9905,21.9,24
22,KHL_9926,48.26,49.385,55.3784210526316,62.204,66.65,2.09,2.162,2.42526315789474,2.72,2.72,17.74,19,22.9978947368421,26.637,30.3,19
23,KHL_9943,41.84,44.546,55.242962962963,64.278,72.61,1.89,2.012,2.46851851851852,3.04,3.23,16.66,17.028,22.7544444444444,31.461,34.05,27
24,LE_302156,64,64.675,70.4,79.275,79.5,2.2,2.2,2.4,2.61,2.7,26.2,26.38,29.429,33.453,35.91,10
25,LE_314099,49.62,52.716,58.999,65.544,66.3,2.23,2.257,2.564,2.821,2.83,20.31,20.418,23.147,27.797,28.22,10
26,LE_315315,66.5,69.11,75.75,83.1,84,2.2,2.2,2.39,2.61,2.7,26.6,27.212,31.909,37.7705,38.18,10
27,LR_24826,43.13,45.4235,52.3440909090909,64.3055,68.78,1.89,1.9105,2.52409090909091,3.081,3.23,14.65,16.459,21.175,25.1195,36.01,22
28,LY_11631,46.67,47.744,53.8676923076923,61.226,61.67,2.28,2.322,2.62076923076923,3.018,3.03,15.4,16.714,20.7684615384615,24.802,25.93,13
29,LY_12824,29.68,37.155,49.8378571428571,57.759,57.85,1.99,2.094,2.43928571428571,2.841,3.01,14.91,15.651,20.5307142857143,25.0185,25.48,14
30,Ordynets_00146,57.71,61.574,79.3956,99.498,103.28,3.34,3.678,4.8976,5.888,6.01,10.77,10.986,16.5824,22.394,22.81,25
31,Ordynets_00158,48.65,50.816,60.578,72.44,77.94,2.58,2.682,3.1972,3.72,4.12,13.89,15.99,19.1504,23.882,28.04,25
32,TU_108264,50.75,51.124,58.554347826087,62.846,71.79,2.71,2.949,3.55304347826087,4.11,4.11,13.47,13.606,16.704347826087,20.21,23.31,23
33,TU_124387,47.26,50.68,59.2682142857143,72.4415,74.73,2.24,2.6085,3.04464285714286,3.433,3.53,15.35,15.89,19.6553571428571,24.9485,25.96,28
34,TU_124388,48.33,51.1,63.3609523809524,75.24,79.15,2.32,2.4,2.94380952380952,3.57,3.66,16.73,17.02,21.8566666666667,31.39,32.98,21
35,TU_124391,51.74,52.395,60.2663636363636,69.48,70.21,3.71,3.73,4.64454545454545,5.915,6.35,9.6,10.35,13.2536363636364,16.605,16.84,11
36,TU_132022,45,46.125,53.66,63.875,65,2.5,2.635,2.88,3,3,15,15.3735,18.719,22.6655,23.21,10
