Species_ID,perl_clade,Specimen_ID,L_sp,W_sp,Q_sp
perlongisporum,clade 1,ARAN_3033195,19,2.3,8.26
perlongisporum,clade 1,ARAN_3033195,18.86,2.3,8.2
perlongisporum,clade 1,ARAN_3033195,19.18,2.13,9
perlongisporum,clade 1,ARAN_3033195,20.5,2.1,9.76
perlongisporum,clade 1,ARAN_3033195,17.09,1.95,8.76
perlongisporum,clade 1,ARAN_3033195,18.2,2,9.1
perlongisporum,clade 1,ARAN_3033195,17.4,2.16,8.06
perlongisporum,clade 1,ARAN_3033195,18.31,2.1,8.72
perlongisporum,clade 1,ARAN_3033195,21.91,2.01,10.9
perlongisporum,clade 1,ARAN_3033195,18.9,1.98,9.55
perlongisporum,clade 1,ARAN_3033195,20.29,2.11,9.62
perlongisporum,clade 1,ARAN_3033195,22.92,2.23,10.28
perlongisporum,clade 1,ARAN_3033195,19.6,2.09,9.38
perlongisporum,clade 1,ARAN_3033195,24.18,2.1,11.51
perlongisporum,clade 1,ARAN_3033195,20.03,1.83,10.95
perlongisporum,clade 1,ARAN_3033195,21.88,2.31,9.47
perlongisporum,clade 1,ARAN_3033195,21.72,1.95,11.14
perlongisporum,clade 1,ARAN_3033195,23.44,2.4,9.77
perlongisporum,clade 1,ARAN_3033195,25.1,2.37,10.59
perlongisporum,clade 1,ARAN_3033195,19.33,1.79,10.8
perlongisporum,clade 1,ARAN_3033195,17.86,1.58,11.3
perlongisporum,clade 1,ARAN_3033195,23.15,1.93,11.99
perlongisporum,clade 1,ARAN_3033195,21.85,2.3,9.5
perlongisporum,clade 1,ARAN_3033195,23.75,2.12,11.2
perlongisporum,clade 1,ARAN_3033195,19.61,1.9,10.32
perlongisporum,clade 1,ARAN_3033195,18.09,2.1,8.61
perlongisporum,clade 1,ARAN_3033195,21.87,2.1,10.41
perlongisporum,clade 1,ARAN_3033195,18.63,2.02,9.22
perlongisporum,clade 1,Buyck_001899,18.05,2.36,7.65
perlongisporum,clade 1,Buyck_001899,19.55,2.13,9.18
perlongisporum,clade 1,Buyck_001899,18.8,2.23,8.43
perlongisporum,clade 1,Buyck_001899,15.74,2.4,6.56
perlongisporum,clade 1,Buyck_001899,13.02,2.12,6.14
perlongisporum,clade 1,Buyck_001899,18.72,2.37,7.9
perlongisporum,clade 1,Buyck_001899,17.9,2.17,8.25
perlongisporum,clade 1,Buyck_001899,16.89,2.04,8.28
perlongisporum,clade 1,Buyck_001899,19.58,2.04,9.6
perlongisporum,clade 1,Buyck_001899,17.55,2.09,8.4
perlongisporum,clade 1,Buyck_001899,14.45,2.42,5.97
perlongisporum,clade 1,Buyck_001899,16.98,2.19,7.75
perlongisporum,clade 1,Buyck_001899,15.21,2.35,6.47
perlongisporum,clade 1,Buyck_001899,17.34,2.36,7.35
perlongisporum,clade 1,Buyck_001899,15.44,2.12,7.28
perlongisporum,clade 1,Buyck_001899,16.87,2.08,8.11
perlongisporum,clade 1,Buyck_001899,14.57,2.35,6.2
perlongisporum,clade 1,Buyck_001899,19.11,2.29,8.34
perlongisporum,clade 1,Buyck_001899,18.3,2.36,7.75
perlongisporum,clade 1,Buyck_001899,16.27,2.21,7.36
perlongisporum,clade 1,Buyck_001899,18.8,2.1,8.95
perlongisporum,clade 1,Buyck_001899,17.92,2.54,7.06
perlongisporum,clade 1,Buyck_001899,16.1,2.16,7.45
perlongisporum,clade 1,Buyck_001899,20.7,2.35,8.81
perlongisporum,clade 1,Buyck_001899,14.5,2.11,6.87
perlongisporum,clade 1,Buyck_001899,20.6,2.36,8.73
perlongisporum,clade 1,Buyck_001899,16.55,2.25,7.36
perlongisporum,clade 1,Buyck_001899,17.74,2.56,6.93
perlongisporum,clade 1,Buyck_001899,17.78,2.37,7.5
perlongisporum,clade 1,Buyck_001899,16.92,2.46,6.88
perlongisporum,clade 1,Buyck_001899,19.47,2.29,8.5
perlongisporum,clade 1,Buyck_001899,19.79,2.32,8.53
perlongisporum,clade 1,Buyck_001899,19.39,2.3,8.43
perlongisporum,clade 1,Buyck_001899,17.01,1.83,9.3
perlongisporum,clade 1,Buyck_001899,19.6,2.42,8.1
perlongisporum,clade 1,Buyck_001899,19.47,2.23,8.73
perlongisporum,clade 1,Hjm_16340,17.84,1.97,9.06
perlongisporum,clade 1,Hjm_16340,15.84,1.66,9.54
perlongisporum,clade 1,Hjm_16340,17.2,1.74,9.89
perlongisporum,clade 1,Hjm_16340,17.97,1.58,11.37
perlongisporum,clade 1,Hjm_16340,16.69,1.88,8.88
perlongisporum,clade 1,Hjm_16340,16.85,1.55,10.87
perlongisporum,clade 1,Hjm_16340,15.94,1.64,9.72
perlongisporum,clade 1,Hjm_16340,17.2,1.75,9.83
perlongisporum,clade 1,Hjm_16340,17.22,1.76,9.78
perlongisporum,clade 1,Hjm_16340,16.73,1.72,9.73
perlongisporum,clade 1,Hjm_16340,17.29,1.86,9.3
perlongisporum,clade 1,Hjm_16340,15.77,1.6,9.86
perlongisporum,clade 1,Hjm_16340,16.25,1.66,9.79
perlongisporum,clade 1,Hjm_16340,13.02,1.56,8.35
perlongisporum,clade 1,Hjm_16340,17.1,1.41,12.13
perlongisporum,clade 1,Hjm_16340,17.96,1.63,11.02
perlongisporum,clade 1,Hjm_16340,16.87,1.71,9.87
perlongisporum,clade 1,Hjm_16340,18.96,1.86,10.19
perlongisporum,clade 1,Hjm_16340,17.06,1.55,11.01
perlongisporum,clade 1,Hjm_16340,14.95,1.6,9.34
perlongisporum,clade 1,Hjm_16340,13.32,1.72,7.74
perlongisporum,clade 1,Hjm_16340,15.73,1.64,9.59
perlongisporum,clade 1,Hjm_16340,16,1.6,10
perlongisporum,clade 1,Hjm_16340,15.15,1.71,8.86
perlongisporum,clade 1,Hjm_16340,16.86,1.81,9.31
perlongisporum,clade 1,Hjm_16340,18.49,1.78,10.39
perlongisporum,clade 1,Hjm_16340,15.11,1.69,8.94
perlongisporum,clade 1,Hjm_16340,17.17,1.56,11.01
perlongisporum,clade 1,Hjm_16340,16.87,1.69,9.98
perlongisporum,clade 1,Hjm_16340,16.82,1.58,10.65
perlongisporum,clade 1,Hjm_16340,15.76,1.47,10.72
perlongisporum,clade 1,Hjm_16340,16.06,1.8,8.92
perlongisporum,clade 1,Hjm_16340,17.34,1.79,9.69
perlongisporum,clade 1,Hjm_16340,17.28,1.79,9.65
perlongisporum,clade 1,Hjm_16340,17.13,1.72,9.96
perlongisporum,clade 1,Hjm_16340,17.16,1.81,9.48
perlongisporum,clade 1,Hjm_16340,16.78,1.74,9.64
perlongisporum,clade 1,Hjm_16340,15.02,1.76,8.53
perlongisporum,clade 1,Hjm_16340,16.22,1.69,9.6
perlongisporum,clade 1,Hjm_16340,16.17,2.13,7.59
perlongisporum,clade 1,Hjm_16340,16.67,1.6,10.42
perlongisporum,clade 1,Hjm_16340,16.47,1.58,10.42
perlongisporum,clade 1,Hjm_16340,16.95,1.69,10.03
perlongisporum,clade 1,Hjm_16340,14.84,1.69,8.78
perlongisporum,clade 1,Hjm_16340,17.05,1.84,9.27
perlongisporum,clade 1,Hjm_16340,18.86,1.96,9.62
perlongisporum,clade 1,Hjm_16340,17.02,1.68,10.13
perlongisporum,clade 1,Hjm_16465,19.14,1.99,9.62
perlongisporum,clade 1,Hjm_16465,16.85,2.1,8.02
perlongisporum,clade 1,Hjm_16465,16.92,2.55,6.64
perlongisporum,clade 1,Hjm_16465,15.64,2.18,7.17
perlongisporum,clade 1,Hjm_16465,18.01,1.88,9.58
perlongisporum,clade 1,Hjm_16465,17.94,1.64,10.94
