Species_ID,perl_clade,Specimen_ID,L_sp,W_sp,Q_sp
perlongisporum,clade 1,TU_132022,55,2.5,22
perlongisporum,clade 1,TU_132022,62.5,3,20.83
perlongisporum,clade 1,TU_132022,47.5,3,15.83
perlongisporum,clade 1,TU_132022,56,2.8,20
perlongisporum,clade 1,TU_132022,45,3,15
perlongisporum,clade 1,TU_132022,52.6,3,17.53
perlongisporum,clade 1,TU_132022,51,3,17
perlongisporum,clade 1,TU_132022,52,2.9,17.93
perlongisporum,clade 1,TU_132022,65,2.8,23.21
perlongisporum,clade 1,TU_132022,50,2.8,17.86
perlongisporum,clade 1,ARAN_3033195,56.09,3.66,15.33
perlongisporum,clade 1,ARAN_3033195,54.84,4.43,12.38
perlongisporum,clade 1,ARAN_3033195,47.92,3.93,12.19
perlongisporum,clade 1,ARAN_3033195,55.39,3.94,14.06
perlongisporum,clade 1,ARAN_3033195,54.75,5.36,10.21
perlongisporum,clade 1,ARAN_3033195,50.72,4.06,12.49
perlongisporum,clade 1,ARAN_3033195,52.82,4.41,11.98
perlongisporum,clade 1,ARAN_3033195,49.52,4.84,10.23
perlongisporum,clade 1,ARAN_3033195,48.16,4.99,9.65
perlongisporum,clade 1,ARAN_3033195,52.58,3.92,13.41
perlongisporum,clade 1,ARAN_3033195,53.69,3.95,13.59
perlongisporum,clade 1,ARAN_3033195,47.97,4.19,11.45
perlongisporum,clade 1,ARAN_3033195,42.96,4.78,8.99
perlongisporum,clade 1,ARAN_3033195,52.85,4.56,11.59
perlongisporum,clade 1,ARAN_3033195,48.46,3.36,14.42
perlongisporum,clade 1,ARAN_3033195,46.86,3.29,14.24
perlongisporum,clade 1,ARAN_3033195,48.87,3.94,12.4
perlongisporum,clade 1,ARAN_3033195,59.53,4,14.88
perlongisporum,clade 1,ARAN_3033195,51.11,4.64,11.02
perlongisporum,clade 1,ARAN_3033195,58.23,5.65,10.31
perlongisporum,clade 1,ARAN_3033195,64.06,5.21,12.3
perlongisporum,clade 1,ARAN_3033195,53.35,4.8,11.11
perlongisporum,clade 1,ARAN_3033195,48.81,4.9,9.96
perlongisporum,clade 1,ARAN_3033195,58.67,4.58,12.81
perlongisporum,clade 1,Buyck_001899,54.62,3.61,15.13
perlongisporum,clade 1,Buyck_001899,51.82,3.76,13.78
perlongisporum,clade 1,Buyck_001899,46.74,3.81,12.27
perlongisporum,clade 1,Buyck_001899,52.07,4.42,11.78
perlongisporum,clade 1,Buyck_001899,50.9,5.15,9.88
perlongisporum,clade 1,Buyck_001899,57.44,3.73,15.4
perlongisporum,clade 1,Buyck_001899,53.97,4.06,13.29
perlongisporum,clade 1,Buyck_001899,48.52,3.96,12.25
perlongisporum,clade 1,Buyck_001899,51.53,4.8,10.74
perlongisporum,clade 1,Buyck_001899,48.54,3.6,13.48
perlongisporum,clade 1,Buyck_001899,51.61,3.9,13.23
perlongisporum,clade 1,Buyck_001899,48,4.09,11.74
perlongisporum,clade 1,Buyck_001899,52.18,5.12,10.19
perlongisporum,clade 1,Buyck_001899,35.18,3.67,9.59
perlongisporum,clade 1,Buyck_001899,47.49,4.16,11.42
perlongisporum,clade 1,Buyck_001899,55.3,3.38,16.36
perlongisporum,clade 1,Buyck_001899,44.06,3.81,11.56
perlongisporum,clade 1,Buyck_001899,47.31,5.01,9.44
perlongisporum,clade 1,Buyck_001899,42.25,4.92,8.59
perlongisporum,clade 1,Buyck_001899,45.17,3.38,13.36
perlongisporum,clade 1,Hjm_16340,49.86,3.44,14.49
perlongisporum,clade 1,Hjm_16340,55.12,3.13,17.61
perlongisporum,clade 1,Hjm_16340,45.7,3.09,14.79
perlongisporum,clade 1,Hjm_16340,47.12,4.42,10.66
perlongisporum,clade 1,Hjm_16340,64.34,4.16,15.47
perlongisporum,clade 1,Hjm_16340,46.18,5.29,8.73
perlongisporum,clade 1,Hjm_16340,36.19,4.78,7.57
perlongisporum,clade 1,Hjm_16340,44.37,4.35,10.2
perlongisporum,clade 1,Hjm_16340,52.18,3.79,13.77
perlongisporum,clade 1,Hjm_16340,54.53,4.06,13.43
perlongisporum,clade 1,Hjm_16340,54.8,3.74,14.65
perlongisporum,clade 1,Hjm_16340,61.51,4.32,14.24
perlongisporum,clade 1,Hjm_16465,46.78,2.9,16.13
perlongisporum,clade 1,Hjm_16465,54.96,2.68,20.51
perlongisporum,clade 1,Hjm_16465,50.45,3.05,16.54
perlongisporum,clade 1,Hjm_16465,39.68,2.82,14.07
perlongisporum,clade 1,Hjm_16465,50.95,2.08,24.5
perlongisporum,clade 1,Hjm_16465,57.25,2.49,22.99
perlongisporum,clade 1,Hjm_16465,60.18,3.01,19.99
perlongisporum,clade 1,Hjm_16465,65.88,2.84,23.2
perlongisporum,clade 1,Hjm_16465,53.78,2.28,23.59
perlongisporum,clade 1,Hjm_16465,62.92,2.35,26.77
perlongisporum,clade 1,Hjm_16465,58.9,2.1,28.05
perlongisporum,clade 1,KAS_GEL_3388,61.76,2.8,22.06
perlongisporum,clade 1,KAS_GEL_3388,63.57,3.15,20.18
perlongisporum,clade 1,KAS_GEL_3388,63.75,2.94,21.68
perlongisporum,clade 1,KAS_GEL_3388,70.18,2.44,28.76
perlongisporum,clade 1,KAS_GEL_3388,62.17,2.82,22.05
perlongisporum,clade 1,KAS_GEL_3388,62.79,2.99,21
perlongisporum,clade 1,KAS_GEL_3388,56.58,2.75,20.57
perlongisporum,clade 1,KAS_GEL_3388,47.41,2.27,20.89
perlongisporum,clade 1,KAS_GEL_3388,51.09,2.52,20.27
perlongisporum,clade 1,KAS_GEL_3388,57.2,2.43,23.54
perlongisporum,clade 1,KAS_GEL_3388,55.78,2.78,20.06
perlongisporum,clade 1,KAS_GEL_3388,62.81,2.91,21.58
perlongisporum,clade 1,KAS_GEL_3388,66.45,2.63,25.27
perlongisporum,clade 1,KAS_GEL_3392,45.14,3,15.05
perlongisporum,clade 1,KAS_GEL_3392,47.26,2.71,17.44
perlongisporum,clade 1,KAS_GEL_3392,62.11,2.67,23.26
perlongisporum,clade 1,KAS_GEL_3392,61.3,3,20.43
perlongisporum,clade 1,KAS_GEL_3392,54.38,2.67,20.37
perlongisporum,clade 1,KAS_GEL_3392,52.93,2.65,19.97
perlongisporum,clade 1,KAS_GEL_3392,41.15,2.48,16.59
perlongisporum,clade 1,KAS_GEL_3392,49.86,2.55,19.55
perlongisporum,clade 1,KAS_GEL_3392,49.31,2.9,17
perlongisporum,clade 1,KAS_GEL_3392,48.68,2.8,17.39
perlongisporum,clade 1,KAS_GEL_3681,61.25,2.21,27.71
perlongisporum,clade 1,KAS_GEL_3681,62.73,3,20.91
perlongisporum,clade 1,KAS_GEL_3681,48.14,2.67,18.03
perlongisporum,clade 1,KAS_GEL_3681,54.97,2.26,24.32
perlongisporum,clade 1,KAS_GEL_3681,55.24,2.27,24.33
perlongisporum,clade 1,KAS_GEL_3681,52.18,3.03,17.22
perlongisporum,clade 1,KAS_GEL_3681,43.2,2.52,17.14
perlongisporum,clade 1,KAS_GEL_3681,64.48,2.84,22.7
