Specimen_ID	Labornummer	S1_Alex	S2_David	S3_Ludmila	S4_Mila	S5_Sasha	S6_Sasha	S7_Sasha	Species_name_v1	Species_name_v2	Species_name_v3	Species_name_v4		CONCAT_tip_labels	ITS_PUBLIC	ITS_barcPlot_labels	ITS_tip_labels	ITS_tip_labels_plotTraits	ITS_PCR_made	ITS_PCR_product	ITS_good_sequence	ITS_good_ID	ITS_good_PCR_PRIMER	ITS_negative_trial(-s)	ITS_negative_total	ITS_negative_PRIMER(s)	LSU_PUBLIC	LSU_plotting_2	LSU_names_TreeBASE	LSU_PCR_made	LSU_PCR_product	LSU_good_sequence	LSU_good_ID	LSU_good_PCR_PRIMER	LSU_negative_trial(-s)	LSU_negative_total	LSU_negative_PRIMER(s)	LAT_full	LONG_full	LAT_rounded	LONG_rounded	COORD_FROM	Host	Substrate	Habitat	Continent	Country	Region/Province/State/District	Subregion/Municipality	Locality text	Date_of_collecting	Collector	Collector ID	Specimen location	Specimen_all_data	GBIF_occurrence_page	SPOR_MEAS_JONATHAN	SPOR_MEAS_SASHA	SPOR_MEAS_DAVID	SPOR_MEAS_MILA	SPOR_MEAS_ROBERT	SPOR_MEAS_SARAH	Notes	PCA_A1_spore_shape	PCA_A2_spore_shape	PCA_A3_spore_shape	PCA_A4_spore_shape	PCA_A5_spore_shape	PCA_1B_spore_shape	PCA_B2_spore_shape	PCA_B3_spore_shape	PCA_B4_spore_shape	PCA_B5_spore_shape	L_sp_method2019	W_sp_method2019	Q_sp_method2019	N_sp_measured_method2019	L_sp_method2016	W_sp_method2016	Q_sp_method2016	Spores_ouliers_excluded_method2016	Spores_ouliers_comments_method2016	N_sp_measured_method2016	L_cys_method2016	W_cys_method2016	Q_cys_method2016	N_cys_measured_method2016
He_3804										acerosum	acerosum	ace		Subulicystidium acerosum MK204539 MK204543 BJFC 022303 He 3804 China	MK204539	ace He_3804	Subulicystidium_acerosum_MK204539_BJFC 022303_He 3804_China										MK204543	MK204543 He 3804 China	Subulicystidium_acerosum_MK204543															fallen angiosperm trunk			China	Guizhou Province	Libo County	Maolan Nature Reserve	16 Jun 2016	S.H.He	He 3804	BJFC 022303									Measurements from Liu et al 2019															16.6	2	8.3	na	na	30	75	4	18.75	na
KAS_L_1584a	46	1							boidinii	boidinii	boidinii	boi		Subulicystidium boidinii MH041527  KAS L 1584a Réunion	MH041527	boi KAS_L_1584a	Subulicystidium_boidinii_MH041527_KAS_L 1584a_Réunion			YES	Sasha_2016_p2	KAS_L_1584a_contig2seq_ITS1-ITS4_wb16713436.fas	ITS1; ITS4	Sasha_2016_p1; Sasha_2016_p0	2	ITS1f; ITS4		 L 1584a Réunion				NO	NA	NA	NA	0	NA	-21.0641667	55.5269444444444	-21.0642	55.5269	gps		dead woody branch		Reunion	Réunion	Saint-Benoît	Salazie	Hell Bourg, ca 1000 m	23 Mar 2015	M.Striegel	L 1584a	KAS	Réunion. Saint-Benoît: Salazie, Hell Bourg, ca 1000 m, -21.0642, 55.5269, on dead woody branch of , 23 Mar 2015, M.Striegel (L 1584a in KAS).		yes						try LSU from Sasha's sample #46 from 2016															6.62	3.11	2.13	not found		72	53.18	3.11	17.23	32
KHL_12830	30	1							boidinii	boidinii	boidinii	boi		Subulicystidium boidinii MH041537 MH041570 GB KHL 12830 Costa Rica	MH041537	boi KHL_12830	Subulicystidium_boidinii_MH041537_GB_KHL 12830_Costa Rica			YES	Sasha_2016_p2	KHL_12830_contig_ITS1f-ITS4_id55IF40-55IF41_wb1649463_finch.fas	ITS1f; ITS4	Sasha_2016_p1; Sasha_2016_p0	2		MH041570	MH041570 KHL 12830 Costa Rica				Felix_2_p0	KHL_12830_NL4_id67FG09_wb1739785_rc	NL4	NA	0	NA	8.9225	-82.7955555555555	8.9225	-82.7956	gps	angiosperm tree	stem	on the ground	Central America	Costa Rica	Puntarenas	Coto Brus	Sabalito, Zona Protectora Las Tablas, Finca Cafrosa, El Tajo, 1560 m	6 Nov 2004	K.-H.Larsson	KHL 12830	GB	Costa Rica. Puntarenas: Coto Brus, Sabalito, Zona Protectora Las Tablas, Finca Cafrosa, El Tajo, 1560 m, 8.9225, -82.7956, on stem of angiosperm tree, 6 Nov 2004, K.-H.Larsson (KHL 12830 in GB).		yes																					6.51	3.01	2.17	not found		44	62.98	5.05	12.57	11
LY_11247	70	1							boidinii	boidinii_CLASSICAL	boidinii_CLASSICAL	boi		Subulicystidium boidinii_CLASSICAL   LY 11247  Réunion		boi LY_11247	Subulicystidium_boidinii_CLASSICAL__LY 11247__Réunion				NO	NA	NA	Felix_5_p3_pcr; Felix_5_p2_pcr; Felix_5_p1_pcr; Felix_5_p0_pcr	4	ITS1f; ITS4; ITS1; ALRO		  Réunion				NO	NA	NA	Felix_5_p1_pcr; Felix_5_p0_pcr	2	NL1; NL4	na	na	na	na	na	Cryptomeria japonica	strongly decayed wood		Reunion	Réunion	Saint Pierre	Cilaos	A_Cilaos X, Foret de la Mare-a-Joseph, kiosque au milieus des Cryptomeria, alt. 1400 m	20 Apr 1985	J.Boidin		LY 11247	Réunion. Saint Pierre: Cilaos, A_Cilaos X, Foret de la Mare-a-Joseph, kiosque au milieus des Cryptomeria, alt. 1400 m, na, na, on strongly decayed wood of Cryptomeria japonica, 20 Apr 1985, J.Boidin ( in LY 11247).			yes					is allantosporum nom.prov. Boidin; relatively short cystidia; broadly clavate basidia															7.37	3.32	2.22	yes	1 Verma+David+Grubbs & 1 Grubbs in A; 1 Grubbs V	49	to measure	to measure	to measure	to measure
FO_15970		1								brachysporum_B	brachysporum_B	braB		Subulicystidium brachysporum_B   TUB FO 15970 Venezuela		braB FO_15970	Subulicystidium_brachysporum_B__TUB_FO 15970_Venezuela				NO							 FO 15970 Venezuela										8.62491229999999	-71.1395215999999	8.6249	-71.1395	map		dead wood		South America	Venezuela	Estado Merida	Merida		1969	F.Oberwinkler	FO 15970	TUB	Venezuela. Estado Merida: Merida, , 8.6249, -71.1395, on dead wood of , 1969, F.Oberwinkler (FO 15970 in TUB).																																
Hjm_16573	40	1							brachysporum	brachysporum_B	brachysporum_B	braB		Subulicystidium brachysporum_B MH041545 MH041596 GB Hjm 16573 Brazil	MH041545	braB Hjm_16573	Subulicystidium_brachysporum_B_MH041545_GB_Hjm 16573_Brazil			YES	Sasha_2016_p0	Hjm_16573_ITS4_rc_55ID55_finch.seq	ITS4	NA	0	NA	MH041596	MH041596 Hjm 16573 Brazil				Felix_3_p0	Hjm_16573_NL1_id67FG88_wb1753213	NL1; NL4	NA	0	NA	-23.6450106	-46.6260928	-23.6450	-46.6261	map		dead wood	on the ground	South America	Brazil	Sao Paulo	Sao Paulo	Instituto de Botanica	24 Jan 1987	K.Hjortstam	Hjm 16573	GB	Brazil. Sao Paulo: Sao Paulo, Instituto de Botanica, -23.6450, -46.6261, on dead wood of , 24 Jan 1987, K.Hjortstam (Hjm 16573 in GB).		yes						Watchbox 1594062															8.35	2.43	3.44		1 Verma+Grubbs A & 1 Verma+Grubbs V	28	55.56	4.65	12.05	11
KAS_L_0134	63	1							brachysporum	brachysporum_B	brachysporum_B	braB		Subulicystidium brachysporum_B MH041541 MH041593 KAS L 0134 Réunion	MH041541	braB KAS_L_0134	Subulicystidium_brachysporum_B_MH041541_KAS_L 0134_Réunion			YES	Sasha_2015	AOrd_L0134_Subulicystidium_meridense	ITS1; ITS4	NA	0	NA	MH041593	MH041593 L 0134 Réunion				Felix_3_p0	KAS_L0134_NL1_id67FG98_wb1753213	NL1; NL4	NA	0	NA	-21.12319	55.492	-21.1232	55.4920	gps		strongly decayed wood	Ebenaceen-/Sterculiaceenwald	Reunion	Réunion	Saint Pierre	Cilaos	Cirque de Cilaos, Roche Merveilleux, Sentiere botanique, 1300 m	15 Mar 2013	E.Langer	L 0134	KAS	Réunion. Saint Pierre: Cilaos, Cirque de Cilaos, Roche Merveilleux, Sentiere botanique, 1300 m, -21.1232, 55.4920, on strongly decayed wood of , 15 Mar 2013, E.Langer (L 0134 in KAS).			yes																				8.58	2.76	3.11	not found		56	73.64	4.38	17.03	11
KAS_L_1147	66	1							brachysporum	brachysporum_B	brachysporum_B	braB		Subulicystidium brachysporum_B MH041542 MH041594 KAS L 1147 Réunion	MH041542	braB KAS_L_1147	Subulicystidium_brachysporum_B_MH041542_KAS_L 1147_Réunion			YES	Sasha_2015	L1147_contig_ITS1-ITS4_54EG19_54EG20_TRIMMED.fas	ITS1; ITS4	NA	0	NA	MH041594	MH041594 L 1147 Réunion				Felix_3_p0	KAS_L1147_NL1_id67FH04_wb1753213	NL1; NL4	NA	0	NA	-21.327867	55.541317	-21.3279	55.5413	gps		dead branch		Reunion	Réunion	Saint-Pierre	Saint-Pierre	Piton de Mont Vert, hiking path, ca 560 m	18 Mar 2015	J.Riebesehl & M.Schroth	L 1147	KAS	Réunion. Saint-Pierre: Saint-Pierre, Piton de Mont Vert, hiking path, ca 560 m, -21.3279, 55.5413, on dead branch of , 18 Mar 2015, J.Riebesehl & M.Schroth (L 1147 in KAS).			yes																				8.5	2.89	2.95	not found		7	60.65	4.8	12.3	22
KAS_L_1498		1							brachysporum	brachysporum_B	brachysporum_B	braB		Subulicystidium brachysporum_B MH041526  KAS L 1498 Réunion	MH041526	braB KAS_L_1498	Subulicystidium_brachysporum_B_MH041526_KAS_L 1498_Réunion			YES	Sasha_2015							 L 1498 Réunion										-21.3278667	55.5413166666666	-21.3279	55.5413	gps		dead wood		Reunion	Réunion	Saint-Pierre	Saint-Pierre	Piton de Mont Vert, ca 560 m	18 Mar 2015	M.Striegel	L 1498	KAS	Réunion. Saint-Pierre: Saint-Pierre, Piton de Mont Vert, ca 560 m, -21.3279, 55.5413, on dead wood of , 18 Mar 2015, M.Striegel (L 1498 in KAS).				yes				cylindric spores mostly															10.76	2.76	3.91	not found		32	55.68	3.66	15.47	21
KAS_L_1584b		1							brachysporum	brachysporum_B	brachysporum_B	braB		Subulicystidium brachysporum_B MH041544 MH041610 KAS L 1584b Réunion	MH041544	braB KAS_L_1584b	Subulicystidium_brachysporum_B_MH041544_KAS_L 1584b_Réunion			YES	Sasha_2015	L1584_ITS4B_rc_10IB09_finch.fas	ITS4B	NA	0	NA	MH041610	MH041610 L 1584b Réunion				Sasha_2015	L1584_LR5_rc_10IB58_finch.fas	LR5	NA	0	NA	-21.0641667	55.5269444444444	-21.0642	55.5269	gps		dead branch		Reunion	Réunion	Saint-Benoît	Salazie	Hell Bourg, ca 1000 m	23 Mar 2015	M.Striegel	L 1584b	KAS	Réunion. Saint-Benoît: Salazie, Hell Bourg, ca 1000 m, -21.0642, 55.5269, on dead branch of , 23 Mar 2015, M.Striegel (L 1584b in KAS).			yes																				8.48	2.75	3.09	not found		78	63.67	4.09	15.71	18
